track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,artist_name,popularity,album_name,album_type,release_date,track_url
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,16,401036314.0,41,69,38,0,36,117,F,Minor,72,45,59,14,0,20,21,Metro Boomin,80.0,HEROES & VILLAINS,album,2022-12-02,https://open.spotify.com/track/0vjeOZ3Ft5jvAi9SBFJm1j
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,8,127026613.0,8,78,4,1,1,133,A,Minor,78,90,84,31,0,7,4,Peso Pluma,61.0,Las Morras,single,2023-04-04,https://open.spotify.com/track/7Lkxvfl2rkNYWS4kBDCQtN
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,36,345031710.0,29,65,34,5,3,96,G#,Minor,74,61,83,11,0,35,6,Feid,77.0,SIXDO,single,2022-12-02,https://open.spotify.com/track/0CYTGMBYkwUxrj1MWDLrC5
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,10,288101651.0,10,72,8,3,14,149,G#,Major,66,85,60,40,0,14,13,Fuerza Regida,70.0,Pa Que Hablen,album,2022-12-30,https://open.spotify.com/track/0UbesRsX2TtiCeamOIVEkp
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,2,60350538.0,1,0,9,0,0,110,F#,Minor,66,32,40,81,0,11,3,Taylor Swift,72.0,Midnights (The Til Dawn Edition),album,2023-05-26,https://open.spotify.com/track/4zmKGsrXjLmljb5fTaBTot
Players,Coi Leray,1,2022,11,30,4096,6,335074782.0,118,48,143,0,240,105,F#,Major,95,62,52,3,0,5,16,Coi Leray,70.0,Players,single,2022-11-30,https://open.spotify.com/track/6UN73IYd0hZxLi8wFPMQij
Bite Me,ENHYPEN,1,2023,5,22,349,69,76767396.0,8,96,5,0,56,105,C#,Major,80,69,78,28,0,11,14,ENHYPEN,77.0,DARK BLOOD,single,2023-05-22,https://open.spotify.com/track/7mpdNiaQvygj2rHoxkzMfa
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,5,46065667.0,23,82,6,0,113,134,B,Major,76,61,58,6,0,16,3,Lil Durk,69.0,Almost Healed,album,2023-05-26,https://open.spotify.com/track/1fXnu2HzxbDtoyvFPWG3Bw
Normal,Feid,1,2022,7,8,2461,36,459276435.0,47,66,45,5,6,170,E,Minor,71,59,56,4,0,27,12,Fallon,59.0,Normal,single,2024-11-21,https://open.spotify.com/track/4gGxBFqh6tZWktF9h9HWlU
Hummingbird (Metro Boomin & James Blake),"James Blake, Metro Boomin",2,2023,6,2,277,1,39666245.0,1,20,5,0,1,81,F#,Major,59,26,60,46,1,25,13,Metro Boomin,66.0,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),album,2023-06-02,https://open.spotify.com/track/6HexNTb392JS071DoTGo0y
Seu Brilho Sumiu - Ao Vivo,"Israel & Rodolffo, Mari Fernandez",2,2023,3,1,967,5,138517666.0,7,29,51,1,29,154,F#,Major,63,75,92,31,0,91,5,Israel & Rodolffo,64.0,"Let's Bora, Vol. 2 (Ao Vivo)",album,2023-03-02,https://open.spotify.com/track/3PH1nUysW7ybo3Yu8sqlPN
Bad Habit,Steve Lacy,1,2022,6,29,8186,12,822633917.0,155,72,131,16,29,169,C#,Major,69,69,51,63,0,38,4,Steve Lacy,83.0,Gemini Rights,album,2022-07-15,https://open.spotify.com/track/4k6Uh1HXdhtusDW5y8Gbvy
CUFF IT,Beyoncï¿,1,2022,7,29,7842,10,595900742.0,215,88,330,26,23,115,G,Major,78,64,69,4,0,7,14,Beyoncé,76.0,RENAISSANCE,album,2022-07-29,https://open.spotify.com/track/1xzi1Jcr7mEi9K2RfzLOqS
Lilith (feat. SUGA of BTS) (Diablo IV Anthem),"Halsey, Suga",2,2023,6,5,215,6,51985779.0,6,14,8,2,4,84,A,Minor,43,14,74,1,0,19,8,Halsey,62.0,Lilith (feat. SUGA of BTS) (Diablo IV Anthem),single,2023-06-05,https://open.spotify.com/track/3l6LBCOL9nPsSY29TUY2VE
69,"Nicky Jam, Feid",2,2023,5,18,1134,22,57945987.0,39,14,48,2,3,93,G#,Major,79,58,62,11,0,11,23,,,,,,
Niï¿½ï¿½a Bo,"Sean Paul, Feid",2,2023,4,21,1305,34,115010040.0,29,26,43,5,44,91,G,Major,82,47,62,10,0,10,15,,,,,,
Search & Rescue,Drake,1,2023,4,7,2066,6,175097833.0,58,70,43,0,182,142,A#,Minor,82,54,44,6,0,33,7,Drake,73.0,Search & Rescue,single,2023-04-07,https://open.spotify.com/track/7aRCf5cLOFN1U7kvtChY1G
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Kendrick Lamar, Beyoncï¿",2,2023,5,19,896,0,57089066.0,34,2,33,0,1,126,C#,Major,78,20,70,1,0,16,4,Beyoncé,64.0,AMERICA HAS A PROBLEM (feat. Kendrick Lamar),single,2023-05-19,https://open.spotify.com/track/6l8mgVN9Xf1hiDIFGA6CTE
Lavender Haze,Taylor Swift,1,2022,10,21,3763,8,488386797.0,51,43,38,10,1,97,A#,Major,73,10,44,26,0,16,8,Taylor Swift,74.0,Midnights,album,2022-10-21,https://open.spotify.com/track/5jQI2r1RdgtuT8S3iG8zFC
"Link Up (Metro Boomin & Don Toliver, Wizkid feat. BEAM & Toian) - Spider-Verse Remix (Spider-Man: Across the Spider-Verse )","WizKid, Toian, Metro Boomin, Don Toliver, Beam",5,2023,6,2,197,0,32761689.0,3,10,3,0,0,101,F,Major,92,59,51,41,51,26,8,Metro Boomin,64.0,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),album,2023-06-02,https://open.spotify.com/track/0y8Pu7x5jXgUjOIJvQIF5L
Efecto,Bad Bunny,1,2022,5,6,4004,33,1047480053.0,34,65,43,6,2,98,G,Minor,80,23,48,14,0,6,5,Bad Bunny,80.0,Un Verano Sin Ti,album,2022-05-06,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
Erro Gostoso - Ao Vivo,Simone Mendes,1,2023,1,27,984,5,153454328.0,8,57,76,2,49,154,F#,Major,59,63,89,18,0,80,9,Simone Mendes,68.0,Cintilante (Ao Vivo / Vol.2),album,2023-10-20,https://open.spotify.com/track/6vq7r1Pqd3pyI07u63cPZV
Cupido,Tini,1,2023,2,14,1240,24,217672943.0,51,29,63,4,54,120,A,Major,91,63,58,52,0,31,22,Bankzitters,57.0,Cupido,single,2023-11-17,https://open.spotify.com/track/4eqKoFDvkBK96nYgUTXUWp
Just Wanna Rock,Lil Uzi Vert,1,2022,10,17,3995,13,457184829.0,72,27,47,0,0,150,B,Major,49,4,55,7,0,6,3,Lil Uzi Vert,72.0,Just Wanna Rock,single,2022-10-17,https://open.spotify.com/track/4FyesJzVpA39hbYvcseO2d
Unstoppable,Sia,1,2016,1,21,7681,13,939844851.0,119,66,"1,145",2,0,174,A,Major,47,27,78,11,0,10,8,Sia,63.0,This Is Acting,album,2016-02-18,https://open.spotify.com/track/059ACLUOyEcdruA2m9f2jd
Until I Found You,Stephen Sanchez,1,2021,9,1,4427,4,726434358.0,69,100,154,20,438,202,A#,Major,34,25,51,69,0,18,4,,,,,,
Rich Flex,"Drake, 21 Savage",2,2022,11,4,4657,18,573633020.0,84,84,42,0,23,153,B,Minor,56,42,52,5,0,36,24,Drake,76.0,Her Loss,album,2022-11-04,https://open.spotify.com/track/1bDbXMyjaUIooNwFE9wn0N
Easy On Me,Adele,1,2021,10,14,10195,20,1406111294.0,258,87,657,22,9,142,F,Major,60,13,37,58,0,13,3,Adele,84.0,30,album,2021-11-19,https://open.spotify.com/track/46IZ0fSY2mpAiktS3KOqds
Cartï¿½ï¿½o B,"MC Caverinha, KayBlack",2,2023,5,11,269,4,71573339.0,7,2,30,1,11,108,A,Minor,84,55,47,26,0,20,64,,,,,,
Danger (Spider) (Offset & JID),"Offset, JID",2,2023,6,2,214,0,24975653.0,3,3,6,0,0,143,B,Major,83,25,69,4,0,23,12,Offset,59.0,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),album,2023-06-02,https://open.spotify.com/track/3X6qK1LdMkSOhklwRa2ZfG
Oi Balde - Ao Vivo,Zï¿½ï¿½ Neto & Crist,1,2023,2,14,845,2,145458418.0,12,57,47,1,33,108,D,Major,67,55,67,60,0,80,5,Zé Neto & Cristiano,64.0,"Escolhas, Vol. 2 (Ao Vivo)",album,2023-06-22,https://open.spotify.com/track/4xAGuRRKOgoaZbMGdmTD3N
The Real Slim Shady,Eminem,1,2000,1,1,20763,27,1424589568.0,81,53,"3,271",1,17,104,F,Minor,95,78,66,3,0,4,6,Eminem,86.0,The Marshall Mathers LP,album,2000-05-23,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
MERCHO,"Migrantes, LiL CaKe, Nico Valdi",3,2022,12,16,1267,20,231332117.0,41,22,56,4,84,93,F#,Minor,84,96,79,43,0,18,11,LiL CaKe,67.0,MERCHO,single,2022-12-16,https://open.spotify.com/track/1DxEbt6OSbrkRthk6pjZue
The Color Violet,Tory Lanez,1,2021,12,10,2585,32,415932686.0,3,79,21,1,54,105,F#,Minor,65,46,53,16,0,9,5,Tory Lanez,85.0,Alone At Prom,album,2021-12-10,https://open.spotify.com/track/3azJifCSqg9fRij2yKIbWz
Glimpse of Us,Joji,1,2022,6,10,6330,6,988515741.0,109,42,158,3,31,170,G#,Major,44,27,32,89,0,14,5,Joji,82.0,SMITHEREENS,album,2022-11-04,https://open.spotify.com/track/2mlNgAeIBnL78ZriXgrRHz
Mejor Que Yo,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,5,4,675,1,50847624.0,9,13,11,0,1,178,C#,Minor,62,56,66,18,0,12,5,Anuel AA,61.0,Mejor Que Yo,single,2023-05-04,https://open.spotify.com/track/1VsHc0qIeyjYOyvN5HIEQG
Curtains,Ed Sheeran,1,2023,5,5,715,0,39893489.0,37,3,27,0,50,176,F#,Minor,50,44,76,10,0,32,5,Ed Sheeran,60.0,- (Deluxe),album,2023-05-05,https://open.spotify.com/track/6ZZf5a8oiInHDkBe9zXfLP
UNFORGIVEN (feat. Nile Rodgers),"Nile Rodgers, LE SSERAFIM",2,2023,5,1,327,13,92035115.0,14,110,9,0,49,104,E,Minor,80,38,88,11,0,11,5,LE SSERAFIM,71.0,UNFORGIVEN,album,2023-05-01,https://open.spotify.com/track/51vRumtqbkNW9wrKfESwfu
Haegeum,Agust D,1,2023,4,21,244,12,118810253.0,6,84,10,2,9,85,G,Major,70,83,84,31,0,47,30,Agust D,85.0,D-DAY,album,2023-04-21,https://open.spotify.com/track/4bjN59DRXFRxBE1g5ne6B1
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,"Rich The Kid, Matuï¿",2,2023,4,30,385,4,77233241.0,17,7,41,1,29,117,F#,Minor,77,69,58,39,0,26,5,,,,,,
MIENTRAS ME CURO DEL CORA,Karol G,1,2023,2,24,1020,35,206399629.0,15,26,30,6,0,80,n/a,Major,52,57,48,86,0,15,39,KAROL G,78.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/6otePxalBK8AVa20xhZYVQ
Never Felt So Alone,Labrinth,1,2023,4,7,1730,3,117747907.0,46,5,51,0,20,98,F,Major,44,36,41,50,0,38,5,Labrinth,69.0,Never Felt So Alone,single,2023-04-07,https://open.spotify.com/track/2NbsBSshscKIPRG3kwBbfo
X SI VOLVEMOS,"Karol G, Romeo Santos",2,2023,2,2,2127,33,266624541.0,45,80,53,8,4,178,C#,Minor,79,58,78,34,0,11,25,KAROL G,78.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/4NoOME4Dhf4xgxbHDT7VGe
ceilings,Lizzy McAlpine,1,2022,4,8,3242,9,293186992.0,67,55,48,0,6,148,A,Major,51,27,33,48,0,22,3,Lizzy McAlpine,80.0,five seconds flat,album,2022-04-08,https://open.spotify.com/track/2L9N0zZnd37dwF0clgxMGI
Cupid,Fifty Fifty,1,2023,2,24,526,10,139681964.0,15,93,30,0,320,120,D,Major,77,94,66,65,0,38,3,,,,,,
I AM,IVE,1,2023,4,10,366,15,123132751.0,16,102,7,0,55,122,E,Minor,68,38,88,1,0,8,5,IVE,74.0,I've IVE,album,2023-04-10,https://open.spotify.com/track/70t7Q6AYG6ZgTYmJWcnkUM
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,1,1997,1,1,472,2,103762518.0,0,0,6,0,0,144,F,Major,74,75,73,42,0,9,4,,,,,,
Shorty Party,"Cartel De Santa, La Kelly",2,2023,3,4,432,12,162887075.0,8,14,12,2,33,96,D,Major,93,47,47,33,0,10,36,Cartel De Santa,73.0,Shorty Party,single,2023-03-04,https://open.spotify.com/track/55ZATsjPlTeSTNJOuW90pW
Super,SEVENTEEN,1,2023,4,24,271,12,91221625.0,16,103,9,0,55,137,G#,Major,77,35,88,16,0,17,9,,,,,,
Slut Me Out,NLE Choppa,1,2022,4,22,816,4,190490915.0,21,4,13,0,4,121,F#,Minor,94,71,61,12,0,53,42,,,,,,
Double Fantasy (with Future),"The Weeknd, Future",2,2023,4,21,1169,0,96180277.0,36,65,28,0,0,119,A,Minor,60,10,57,1,0,50,3,The Weeknd,70.0,Double Fantasy,single,2023-04-21,https://open.spotify.com/track/4VMRsbfZzd3SfQtaJ1Wpwi
All Of The Girls You Loved Before,Taylor Swift,1,2019,8,23,1282,6,185240616.0,26,6,19,0,5,96,D,Major,72,40,47,71,0,13,4,Taylor Swift,74.0,All Of The Girls You Loved Before,single,2019-08-23,https://open.spotify.com/track/4P9Q0GojKVXpRTJCaL3kyy
PROVENZA,Karol G,1,2022,4,21,6587,34,885093467.0,114,104,147,11,20,111,C#,Major,87,53,52,66,1,11,5,KAROL G,81.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/3HqcNJdZ2seoGxhn0wVNDK
Princess Diana (with Nicki Minaj),"Nicki Minaj, Ice Spice",2,2023,4,14,1444,4,104992946.0,0,0,0,0,0,148,A,Major,90,74,68,14,0,10,19,Ice Spice,68.0,Princess Diana (with Nicki Minaj),single,2023-04-14,https://open.spotify.com/track/0ZxhtATQ0a6EvQNZ0z6NKV
Di Que Si,"Grupo Marca Registrada, Grupo Frontera",2,2023,2,3,356,10,147290338.0,4,64,4,2,37,182,A,Major,57,80,59,8,0,6,5,,,,,,
Shivers,Ed Sheeran,1,2021,9,9,10147,30,1302184087.0,234,71,543,18,0,141,D,Major,79,82,86,28,0,4,9,Ed Sheeran,84.0,=,album,2021-10-25,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
Igualito a Mi Apï¿,"Fuerza Regida, Peso Pluma",2,2022,12,30,265,6,158950978.0,8,84,5,1,4,145,E,Minor,76,80,81,19,0,6,9,,,,,,
Shoong! (feat. LISA of BLACKPINK),"TAEYANG, Lisa",2,2023,4,25,351,9,76910644.0,16,90,10,0,64,110,B,Minor,76,26,70,1,0,41,6,TAEYANG,64.0,Down to Earth,album,2023-04-25,https://open.spotify.com/track/5HrIcZOo1DysX53qDRlRnt
Komang,Raim Laode,1,2022,8,16,158,4,137123880.0,5,6,1,1,18,134,G,Major,70,35,41,41,0,10,3,Raim Laode,76.0,Komang,single,2022-08-16,https://open.spotify.com/track/654ZF6YNWjQS2NhwR3QnX7
DESPECHï¿,ROSALï¿½,1,2022,7,28,7613,33,782369383.0,180,90,422,15,55,130,G,Major,92,78,62,18,0,6,10,,,,,,
Made You Look,Meghan Trainor,1,2022,10,21,3956,6,502574952.0,142,23,127,3,16,145,A#,Major,84,88,53,35,0,8,7,Meghan Trainor,78.0,Takin' It Back,album,2022-10-21,https://open.spotify.com/track/0QHEIqNKsMoOY5urbzN48u
Watch This - ARIZONATEARS Pluggnb Remix,"sped up nightcore, ARIZONATEARS, Lil Uzi Vert",3,2023,2,5,1638,10,207033255.0,0,0,21,0,0,130,B,Minor,69,36,90,1,10,15,4,Lil Uzi Vert,74.0,Watch This (ARIZONATEARS Pluggnb Remix),single,2023-02-05,https://open.spotify.com/track/0FA4wrjDJvJTTU8AepZTup
No Se Va,Grupo Frontera,1,2022,4,28,924,18,404887295.0,17,80,22,9,38,173,n/a,Major,59,69,53,12,0,23,3,Morat,79.0,Balas Perdidas,album,2018-10-25,https://open.spotify.com/track/4khWEpnaijN0G1x019Uzdr
Punto G,Quevedo,1,2022,11,4,1985,35,381161027.0,34,26,37,5,1,92,B,Minor,75,55,76,25,0,10,15,KAROL G,53.0,OCEAN,album,2019-05-03,https://open.spotify.com/track/2E82gORVSA7UMEz5M1IP3b
Lovers Rock,TV Girl,1,2014,6,5,6339,13,466231982.0,3,1,36,1,37,105,F,Minor,56,57,87,0,1,10,4,TV Girl,87.0,French Exit,album,2014-06-05,https://open.spotify.com/track/6dBUzqjtbnIa1TwYbyw5CM
METAMORPHOSIS,INTERWORLD,1,2021,11,25,1561,24,357580552.0,18,78,24,0,30,175,G,Minor,59,15,64,43,90,12,10,INTERWORLD,78.0,METAMORPHOSIS,single,2021-11-25,https://open.spotify.com/track/2ksyzVfU0WJoBpu8otr4pz
Mami Chula,"Quevedo, Jhayco",2,2023,4,27,875,4,61105704.0,17,13,27,0,43,120,G,Minor,80,33,70,22,0,9,4,GUALTIERO,30.0,Mami Chula,single,2021-04-23,https://open.spotify.com/track/4aGQdslOEXeSdfEVzljGWA
En Paris,"El Chachito, Junior H",2,2022,12,24,406,5,198275403.0,3,31,2,1,0,139,D#,Minor,70,77,48,37,0,12,5,El Chachito,71.0,En Paris,single,2022-12-24,https://open.spotify.com/track/1Fuc3pBiPFxAeSJoO8tDh5
Set Me Free Pt.2,Jimin,1,2023,3,17,340,13,168448603.0,4,71,16,1,9,132,n/a,Minor,59,56,82,12,0,12,6,Jimin,69.0,Set Me Free Pt.2,single,2023-03-17,https://open.spotify.com/track/59hBR0BCtJsfIbV9VzCVAp
I Was Never There,"The Weeknd, Gesaffelstein",2,2018,3,29,4188,15,705469769.0,30,70,142,0,27,114,A#,Major,32,17,74,14,0,17,3,The Weeknd,83.0,"My Dear Melancholy,",album,2018-03-30,https://open.spotify.com/track/1cKHdTo9u0ZymJdPGSh6nq
Don't ever say love me (feat. RM of BTS),"RM, Colde",2,2023,5,4,105,0,34502215.0,5,9,5,0,0,145,B,Minor,54,19,48,36,0,37,5,Colde,58.0,Love Part 2,album,2023-05-04,https://open.spotify.com/track/4UMKAWKI1ljNHNxkmAAch0
Shut Down,BLACKPINK,1,2022,9,16,1524,17,482175240.0,53,120,62,0,2,110,n/a,Major,82,67,69,0,0,18,4,BLACKPINK,70.0,BORN PINK,album,2022-09-15,https://open.spotify.com/track/7gRFDGEzF9UkBV233yv2dc
Gato de Noche,"Nengo Flow, Bad Bunny",2,2022,12,22,2651,30,304118600.0,21,55,32,3,0,94,G#,Major,89,61,66,17,0,36,16,Ñengo Flow,68.0,Gato de Noche,single,2022-12-22,https://open.spotify.com/track/54ELExv56KCAB4UP9cOCzC
Call Out My Name,The Weeknd,1,2018,3,29,11087,6,1449799467.0,151,107,801,1,105,134,C#,Major,45,17,60,21,0,33,4,The Weeknd,85.0,"My Dear Melancholy,",album,2018-03-30,https://open.spotify.com/track/09mEdoA6zrmBPgTEN5qXmN
Like Crazy (English Version),Jimin,1,2023,3,24,373,19,173627354.0,4,72,5,0,5,120,G,Major,62,32,76,0,0,39,4,Jimin,64.0,FACE,single,2023-03-24,https://open.spotify.com/track/0u8rZGtXJrLtiSe34FPjGG
Rosa Pastel,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,2,2,200,4,90025258.0,8,77,2,1,1,123,G,Minor,70,86,68,24,0,11,4,Belanova,78.0,Dulce Beat,album,2006,https://open.spotify.com/track/3mU0DbuWtUX5KCaovOQZVK
Sunroof,"Nicky Youre, Dazy",2,2021,12,3,3741,17,652704649.0,156,35,110,19,0,131,A#,Major,77,84,71,35,0,15,4,Nicky Youre,64.0,Sunroof (Remixes),single,2022-08-12,https://open.spotify.com/track/6WHSNH8PhDHbpYxg4I181o
Lose Yourself - Soundtrack Version,Eminem,1,2002,1,1,32502,21,1829992958.0,247,54,"5,567",1,51,171,D,Major,70,6,73,1,0,36,26,,,,,,
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,Eminem,83.0,The Eminem Show,album,2002-05-26,https://open.spotify.com/track/4woTEX1wYOTGDqNXuavlRC
Superman,"Eminem, Dina Rae",2,2002,5,26,7615,14,655466831.0,18,51,"1,005",0,0,130,E,Minor,80,64,76,2,0,20,6,Eminem,83.0,The Eminem Show,album,2002-05-26,https://open.spotify.com/track/4woTEX1wYOTGDqNXuavlRC
Mas Rica Que Ayer,"Mambo Kingz, DJ Luian, Anuel Aa",3,2023,3,2,1208,34,146409671.0,10,41,20,0,1,94,B,Major,82,53,67,34,0,9,8,Anuel AA,68.0,Mas Rica Que Ayer,single,2023-03-02,https://open.spotify.com/track/3XjvMZqm2AQ8thMCD6w9w2
People Pt.2 (feat. IU),"IU, Agust D",2,2023,4,7,209,4,95816024.0,4,45,11,2,24,89,G,Minor,73,44,57,39,0,32,6,Agust D,66.0,D-DAY,album,2023-04-21,https://open.spotify.com/track/41JPN7pZMTp1sumBOHOzHd
REMIX EXCLUSIVO,Feid,1,2023,3,17,1235,9,117206995.0,20,8,15,0,6,87,F,Minor,65,71,56,4,0,15,20,Feid,68.0,REMIX EXCLUSIVO,single,2023-03-17,https://open.spotify.com/track/3eqCJfgJJs8iKx49KO12s3
"Arcï¿½ï¿½ngel: Bzrp Music Sessions, Vol","Arcangel, Bizarrap",2,2023,3,22,654,3,100409613.0,11,3,18,1,1,124,B,Minor,72,79,78,55,0,15,30,,,,,,
DOGTOOTH,"Tyler, The Creator",2,2023,3,27,1479,0,80758350.0,23,0,18,0,33,78,G#,Major,71,80,65,51,0,22,32,"Tyler, The Creator",71.0,CALL ME IF YOU GET LOST: The Estate Sale,album,2023-03-31,https://open.spotify.com/track/6OfOzTitafSnsaunQLuNFw
10:35,"Tiï¿½ï¿½sto, Tate M",2,2022,11,1,4942,26,325592432.0,190,104,147,18,63,120,G#,Major,70,70,79,7,0,18,10,Tiësto,74.0,10:35,single,2022-11-03,https://open.spotify.com/track/6BePGk3eCan4FqaW2X8Qy3
SORRY NOT SORRY,"Tyler, The Creator",2,2023,3,31,709,0,58473276.0,8,1,13,0,0,96,F#,Minor,48,50,80,40,0,37,20,,,,,,
HAPPY,NF,1,2023,3,25,660,0,52722996.0,22,7,11,0,78,106,G,Major,73,22,86,31,0,12,4,NF,73.0,HOPE,album,2023-04-07,https://open.spotify.com/track/3ZEno9fORwMA1HPecdLi0R
La Bebe,Yng Lvcas,1,2021,12,24,489,17,191945597.0,4,11,5,1,2,170,D,Minor,78,75,46,62,0,12,35,Yng Lvcas,65.0,LPM,album,2021-12-24,https://open.spotify.com/track/6odrHMSLjP3aOXC4ipKUC6
I Know - PR1SVX Edit,"Kanii, PR1ISVX",2,2023,3,24,407,0,77377503.0,16,15,5,0,1,134,B,Minor,67,11,76,8,47,30,7,Kanii,67.0,I Know (PR1SVX Edit),single,2023-03-24,https://open.spotify.com/track/3vcLw8QA3yCOkrj9oLSZNs
Late Night Talking,Harry Styles,1,2022,5,20,7461,8,743693613.0,166,42,199,16,58,115,A#,Major,71,90,73,30,0,11,5,Harry Styles,78.0,Harry's House,album,2022-05-20,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
Leï¿½,Marï¿½ï¿½lia Mendo,1,2022,12,9,993,4,267789608.0,30,84,88,1,28,130,F#,Major,74,79,87,45,0,30,3,,,,,,
Save Your Tears (with Ariana Grande) (Remix),"Ariana Grande, The Weeknd",2,2020,3,20,9161,5,1221813483.0,240,98,468,3,10,118,n/a,Major,65,63,79,3,0,10,3,The Weeknd,78.0,Save Your Tears (Remix),single,2021-04-23,https://open.spotify.com/track/37BZB0z9T8Xu7U3e65qxFy
Something in the Orange,Zach Bryan,1,2022,4,22,3282,12,449701773.0,67,84,46,16,117,110,G,Major,59,22,38,42,0,12,3,Zach Bryan,85.0,Something in the Orange,single,2022-04-22,https://open.spotify.com/track/3WMj8moIAXJhHsyLaqIIHI
VOID,Melanie Martinez,1,2023,3,29,596,0,67070410.0,29,9,12,0,52,100,A,Major,72,42,66,18,4,19,4,Melanie Martinez,54.0,VOID,single,2023-03-29,https://open.spotify.com/track/1QvvLc5UihfQ2nOxzhjuek
Dijeron Que No La Iba Lograr,"Fuerza Regida, Chino Pacas",2,2023,3,14,320,6,116334601.0,5,48,2,1,9,142,G,Minor,70,76,79,26,0,11,7,Chino Pacas,68.0,Que Sigan Llegando Las Pacas (Extended),album,2024-10-18,https://open.spotify.com/track/1eCpKyqGCQ3lignyphxlmN
Midnight Rain,Taylor Swift,1,2022,10,21,2612,4,433356509.0,19,29,21,0,0,140,n/a,Major,64,18,37,72,0,12,7,Taylor Swift,75.0,Midnights,album,2022-10-21,https://open.spotify.com/track/3rWDp9tBPQR9z6U5YyRSK4
If We Ever Broke Up,Mae Stephens,1,2023,2,10,2040,4,165584767.0,81,27,66,9,444,116,G,Major,90,96,73,62,0,9,4,Mae Stephens,70.0,If We Ever Broke Up,single,2023-02-10,https://open.spotify.com/track/6maTPqynTmrkWIralgGaoP
You Proof,Morgan Wallen,1,2022,5,13,2128,9,367814306.0,37,88,9,0,14,120,A,Major,73,64,85,25,0,61,3,Morgan Wallen,79.0,One Thing At A Time,album,2023-03-03,https://open.spotify.com/track/5W4kiM2cUYBJXKRudNyxjW
LA INOCENTE,"Feid, Mora",2,2022,4,1,2598,37,477033549.0,28,57,43,8,85,92,F,Minor,76,46,79,31,0,7,6,Mora,79.0,MICRODOSIS,album,2022-04-01,https://open.spotify.com/track/5jt25aFjW2kNoBqaEVaz5W
Malas Decisiones,Kenia OS,1,2022,10,26,542,2,156214700.0,23,2,21,0,0,110,G#,Minor,81,64,79,5,0,31,3,Kenia OS,73.0,K23,album,2022-10-26,https://open.spotify.com/track/6Xj014IHwbLVjiVT6H89on
Murder In My Mind,Kordhell,1,2022,1,21,2459,20,448843705.0,20,68,50,0,22,120,A#,Major,71,57,97,1,0,13,11,Kordhell,76.0,Murder In My Mind,single,2022-01-21,https://open.spotify.com/track/6qyS9qBy0mEk3qYaH8mPss
Gangsta's Paradise,"Coolio, L.V.",2,1995,7,11,10624,17,1357608774.0,21,0,386,0,0,80,G#,Major,63,40,61,9,0,56,6,Coolio,86.0,Gangsta's Paradise,album,1995-11-07,https://open.spotify.com/track/1DIXPcTDzTj8ZMHt3PDt8p
CAIRO,"Karol G, Ovy On The Drums",2,2022,11,13,2418,26,294352144.0,52,66,55,1,16,115,F,Minor,95,43,69,47,0,9,31,KAROL G,73.0,MAÑANA SERÁ BONITO,album,2023-02-24,https://open.spotify.com/track/16dUQ4quIHDe4ZZ0wF1EMN
